,Title,1st_topic,1st_topic_percentage,2nd_topic,2nd_topic_percentage
3248,Medbot: Conversational artificial intelligence powered chatbot for delivering tele-health after covid-19,3.0,38.71,0.0,12.25
3249,Predicting clinical re-admission using discharge summaries (pcruds),5.0,25.37,2.0,16.93
3250,Design and implementation of automatic guided vehicle for hospital application,3.0,45.15,1.0,11.81
3251,Predictive model for network intrusion detection system using deep learning,1.0,32.81,6.0,17.82
3252,Decentralising finance using decentralised blockchain oracles,6.0,21.84,3.0,21.71
3253,Computer vision and radiology for COVID-19 detection,1.0,25.48,4.0,19.52
3254,The digital economy lights up,6.0,34.09,5.0,13.7
3255,Is Porter's five forces framework still relevant? A study of the capital/labour intensity continuum via mining and IT industries,6.0,31.28,5.0,16.4
3256,"Fighting pandemics by exploiting 5G, AI and bigdata enabled technologies: How 5G can help contain the spread of COVID-19",3.0,23.88,5.0,19.08
3257,#Lockdown: Network-enhanced emotional profiling in the time of covid-19,6.0,28.73,5.0,27.39
3258,Artificial Intelligence Prediction x41gorithms for Future Evolution of COVID-19 Cases,4.0,23.44,1.0,16.85
3259,Tools and Strategy for Distance Learning to Respond COVID-19 Pandemic in Indonesia,0.0,47.39,3.0,13.41
3260,Protein folding vs. COVID-19 and the Mediterranean diet,5.0,18.86,2.0,18.15
3261,A mathematical model for the COVID-19 outbreak and its applications,4.0,34.28,5.0,13.63
3262,Rapid development of competitive translation engines for access to multilingual covid-19 information,5.0,23.1,2.0,20.98
3263,Covid-19 school closure-related changes to the professional life of a k–12 teacher,0.0,43.86,6.0,16.88
3264,A Headset Like Wearable Device to Track COVID-19 Symptoms,3.0,39.14,1.0,14.33
3265,Social Engineering and Prototype Awareness Enhancing during International Coronavirus Outbreak,3.0,23.76,6.0,18.57
3266,Volunteer down: How COVID-19 created the largest idling supercomputer on earth,3.0,26.54,6.0,17.88
3267,The consumer in lockdown: Consumer– merchant payments in a mobility-constrained environment,6.0,39.72,3.0,19.01
3268,COVID-19 public sentiment insights and machine learning for tweets classification,5.0,36.42,1.0,15.57
3269,"Eight weeks later-the unprecedented rise of 3D printing during the COVID-19 pandemic-A case study, lessons learned, and implications on the future of global decentralized manufacturing",3.0,23.74,4.0,18.63
3270,Digital technologies in supply chain management for production and digital economy development,6.0,38.72,3.0,18.2
3271,Computational view toward the inhibition of SARS-CoV-2 spike glycoprotein and the 3CL protease,2.0,46.63,4.0,11.85
3272,Time to acceptance of 3 days for papers about COVID-19,4.0,25.29,6.0,19.46
3273,Application of a gray-based decision support framework for location selection of a temporary hospital during COVID-19 pandemic,3.0,27.58,1.0,18.73
3274,Betacoronavirus genomes: How genomic information has been used to deal with past outbreaks and the covid-19 pandemic,2.0,41.21,4.0,14.53
3275,WebRTC role in real-time communication and video conferencing,3.0,32.61,5.0,19.32
3276,Sars-cov-2 evolutionary adaptation toward host entry and recognition of receptor o-acetyl sialylation in virus–host interaction,2.0,62.75,0.0,9.89
3277,Novel economical social distancing smart device for covid19,3.0,34.79,1.0,16.06
3278,"The strategic alliance between clinical and molecular science in the war against sars-cov-2, with the rapid-diagnostics test as an indispensable weapon for front line doctors",2.0,22.65,3.0,18.58
3279,"COVID-19 epidemic as E-learning boost? Chronological development and effects at an Austrian university against the background of the concept of ""E-learning readiness""",0.0,33.57,4.0,15.08
3280,Epidemic source detection over dynamic networks,1.0,22.96,4.0,21.41
3281,3D printing in COVID-19: Productivity estimation of the most promising open source solutions in emergency situations,3.0,26.12,6.0,21.74
3282,Optimized qRT-PCR approach for the detection of intra-and extra-cellular SARS-CoV-2 RNAs,2.0,33.0,1.0,24.13
3283,RRM prediction of erythrocyte band3 protein as alternative receptor for SARS-CoV-2 virus,2.0,47.46,1.0,14.95
3284,High-efficiency simulation framework to analyze the impact of exhaust air from covid-19 temporary hospitals and its typical applications,3.0,27.04,4.0,21.37
3285,"Analysing the Combined Health, Social and Economic Impacts of the Corovanvirus Pandemic Using Agent-Based Social Simulation",6.0,25.36,4.0,18.85
3286,Counting the cost of COVID-19,4.0,34.97,2.0,20.05
3287,Keeping critical assets safe when teleworking is the new norm,6.0,33.92,3.0,20.93
3288,The rise of telemedicine: how to mitigate potential fraud,3.0,25.56,6.0,24.4
3289,"SARS-CoV-2 and ORF3a: Nonsynonymous mutations, functional domains, and viral pathogenesis",2.0,65.27,4.0,8.78
3290,Covid-19: why selfies are in the spotlight for proving ID,6.0,23.51,2.0,16.5
3291,Building a governance framework for facial recognition,3.0,19.44,6.0,17.93
3292,"COVID-19: Modeling, prediction, and control",4.0,30.03,2.0,23.57
3293,COVID-19: A comparison of time series methods to forecast percentage of active cases per population,4.0,38.61,1.0,14.96
3294,U.S. faculty and administrators’ experiences and approaches in the early weeks of the COVID-19 pandemic,0.0,53.76,6.0,9.9
3295,Prediction of novel inhibitors of the main protease (M-pro) of SARS-CoV-2 through consensus docking and drug reposition,2.0,52.75,1.0,9.99
3296,Investigation of some antiviral N-heterocycles as COVID 19 drug: Molecular docking and DFT calculations,2.0,62.52,4.0,10.64
3297,Pulmonary delivery of fenretinide: A possible adjuvant treatment in COVID-19,2.0,56.9,4.0,10.44
3298,e-Tourism beyond COVID-19: a call for transformative research,6.0,27.3,0.0,20.41
3299,The impact of COVID 19 in Indian economy - An empirical study,6.0,41.3,4.0,19.21
3300,An agent-based model to evaluate the COVID-19 transmission risks in facilities,4.0,35.98,5.0,15.23
3301,"COVID-19 Coronavirus spike protein analysis for synthetic vaccines, a peptidomimetic antagonist, and therapeutic drugs, and analysis of a proposed achilles’ heel conserved region to minimize probability of escape mutations and drug resistance",2.0,54.35,6.0,9.73
3302,COVID-19 detection using deep learning models to exploit Social Mimic Optimization and structured chest X-ray images using fuzzy color and stacking approaches,1.0,47.08,2.0,14.52
3303,Application of deep learning technique to manage COVID-19 in routine clinical practice using CT images: Results of 10 convolutional neural networks,1.0,56.19,3.0,9.76
3304,Automated detection of COVID-19 cases using deep neural networks with X-ray images,1.0,46.32,4.0,16.24
3305,Potential covalent drugs targeting the main protease of the SARS-CoV-2 coronavirus,2.0,56.47,1.0,8.64
3306,Genome detective coronavirus typing tool for rapid identification and characterization of novel coronavirus genomes,2.0,42.64,4.0,12.79
3307,Title: The emergency medicine facing the challenge of open science,2.0,30.29,0.0,21.38
3308,Tabletop teleporter: Evaluating the immersiveness of remote board gaming,0.0,24.84,6.0,17.09
3309,A blockchain-based secure PHR data storage and sharing framework,3.0,40.17,5.0,20.2
3310,Technology against COVID-19 A blockchain-based framework for data quality,3.0,28.58,5.0,19.45
3311,Challenges for students of mechanical engineering using UML - Typical questions and faults,0.0,24.46,1.0,15.77
3312,"Review and evaluation of heart rate monitoring based vital signs, a case Study: Covid-19 Pandemic",3.0,32.88,4.0,16.5
3313,Intelligent network for proactive detection of COVID-19 disease,3.0,35.08,1.0,19.69
3314,A framework for a strategic digital transformation,6.0,38.03,3.0,13.92
3315,LISUNGIcovid19: Prototype of mobile application to help manage the way out of covid-19 crisis,3.0,25.89,4.0,22.55
3316,Design and implementation of a social distancing and contact tracing wearable,3.0,35.46,6.0,18.82
3317,Utilization of distance education during COVID_19 crisis,0.0,45.48,3.0,10.86
3318,CoviNet: Automated COVID-19 detection from X-rays using deep learning techniques,1.0,46.97,4.0,15.15
3319,MMArt-ACM'20: International Joint Workshop on Multimedia Artworks Analysis and Attractiveness Computing in Multimedia 2020,0.0,20.38,5.0,20.29
3320,Analysing Recovery from Pandemics by Learning Theory: The Case of CoVid-19,4.0,37.3,5.0,12.0
3321,COVID-19 on Facebook Ads: Competing Agendas around a Public Health Crisis,6.0,34.75,5.0,17.71
3322,NoFaceContact: Stop touching your face with NFC,3.0,24.08,4.0,16.87
3323,Tracking citizen's concerns during COVID-19 pandemic,4.0,28.81,6.0,24.36
3324,"Value Governance, Digital Divided and Economic Inequality in Italy during the Covid 19 Emergency",6.0,28.45,4.0,21.11
3325,Supporting Home Quarantine with Smart Speakers,3.0,25.73,1.0,17.27
3326,Engaging children and parents in physically active maths sessions,0.0,33.62,6.0,17.3
3327,Pushing LIMITS: Envisioning beyond the artifact,6.0,36.04,0.0,23.24
3328,System Dynamics Model of COVID-19 Pandemic Situation: The Case of Phuket Thailand,4.0,33.44,6.0,17.73
3329,Fast Identification of Possible Drug Treatment of Coronavirus Disease-19 (COVID-19) through Computational Drug Repurposing Study,2.0,70.16,1.0,7.56
3330,Data driven modelling of coronavirus spread in spain,4.0,48.12,1.0,13.38
3331,Machine learning and classical forecasting methods based decision support systems for covid-19,4.0,45.08,1.0,14.06
3332,Mathematical analysis of novel coronavirus (2019-nCov) delay pandemic model,4.0,40.0,2.0,15.36
3333,An improved method for the fitting and prediction of the number of covid-19 confirmed cases based on LSTM,4.0,38.78,1.0,19.39
3334,What is discussed about covid-19: A multi-modal framework for analyzing microblogs from sina weibo without human labeling,5.0,29.64,1.0,19.94
3335,On the detection of covid-19 from chest x-ray images using cnn-based transfer learning,1.0,48.95,5.0,12.93
3336,A robust watermarking scheme based on roi and IWT for remote consultation of covid-19,1.0,34.41,3.0,15.44
3337,Intelligent forecasting model of covid-19 novel coronavirus outbreak empowered with deep extreme learning machine,1.0,29.97,4.0,23.37
3338,Covid-19 public opinion and emotion monitoring system based on time series thermal new word mining,5.0,39.19,1.0,15.22
3339,Investigation on the Difficulties and Challenges of Teachers Online Teaching in Primary and Middle Schools of Guangxi Middle School,0.0,40.08,4.0,13.29
3340,A Mask Detection Method for Shoppers under the Threat of COVID-19 Coronavirus,1.0,45.93,3.0,14.82
3341,Evaluating the Effectiveness of COVID-19 Prevention and Control Measures Based on SEIR Model,4.0,41.14,5.0,12.73
3342,IoT System for Collecting Vital Signs and Geographic Location Data of Mobile Users,3.0,37.19,4.0,17.75
3343,Analysis of Blocking Population Flow to Control COVID-19 in Multi-regions Based on Discrete SEIR Epidemic Model,4.0,35.92,5.0,19.59
3344,Activity Recognition and Fall Detection in Elderly People,1.0,24.38,3.0,18.15
3345,Using Exploratory Data Analysis for Generating Inferences on the Correlation of COVID-19 cases,5.0,46.16,1.0,15.77
3346,Analysis of Bangladeshi People's Emotion during Covid-19 in Social Media Using Deep Learning,5.0,39.29,6.0,15.79
3347,Information Management of the Risks and Threats of the Covid-19 Pandemic,6.0,30.6,5.0,13.13
3348,Nuclei Segmentation and Detection using Deep Convolutional Neural Networks,1.0,31.91,2.0,18.83
3349,Hybrid-Flipped class room Approach for Fashion Design Students: Mitigating impacts to Learning Activities due to Emergence of COVID-19,0.0,39.7,3.0,16.71
3350,COVID-19 Diagnosis from Chest Radiography Images using Deep Residual Network,1.0,46.13,4.0,12.21
3351,Sahayantra - A Patient Assistance Robot,3.0,46.18,1.0,13.24
3352,COVID-19 Pandemic Prediction using Time Series Forecasting Models,4.0,53.31,5.0,11.65
3353,Corporate Social Responsibility as a tool for healthtech startups: Modelling enablers of healthcare and social support system to fight Coronavirus Pandemic,6.0,25.56,3.0,17.49
3354,A Deep Learning Based Assistive System to Classify COVID-19 Face Mask for Human Safety with YOLOv3,1.0,46.32,5.0,13.01
3355,Pneumonia Detection: An Efficient Approach Using Deep Learning,1.0,26.22,4.0,17.39
3356,IoT-based smart gallery to promote museum in ambon,3.0,23.68,0.0,20.66
3357,Coronavirus (COVID-19) in India-statistics facts,4.0,33.63,2.0,16.66
3358,"Comorbidities in patients with COVID-19,case study:Baja California, using ANN",4.0,27.69,1.0,20.23
3359,Development of interactive mobile application with augmented reality for tourism sites in batam,6.0,21.17,0.0,20.93
3360,Digitalization against the new outbreak,6.0,26.21,2.0,19.17
3361,Development of smart workshop mobile application as information,3.0,26.9,6.0,18.12
3362,Cybersecurity attacks on smart home during Covid-19 pandemic,3.0,30.55,6.0,18.34
3363,IoT based low-cost robotic agent design for disabled and Covid-19 virus affected people,3.0,41.59,4.0,12.95
3364,IoT based framework for smart campus: COVID-19 readiness,3.0,36.95,0.0,14.55
3365,A repository collaboration model to gamify education using synergistic digital hub,0.0,30.75,6.0,16.79
3366,A Web-based Information System for the Management of ICU Beds during the Coronavirus Outbreak,3.0,31.67,4.0,24.56
3367,Untangling between fake-news and truth in social media to understand the Covid-19 Coronavirus,5.0,29.51,6.0,17.18
3368,What influences sentiment analysis on social networks: A case study,5.0,25.47,6.0,23.1
3369,Data Analytics for the COVID-19 Epidemic,5.0,22.48,1.0,20.22
3370,Covid-19: A Digital Transformation Approach to a Public Primary Healthcare Environment,6.0,23.9,3.0,21.74
